iHy, iMod,1,1a,2,2a,2b,3,4,4a,4b,5,5a,5b,6,6a,6b,7,7a,8,9,10,11,12,12a,13,5c,Oa1,Oa2,Oa3,Oa4,Oa5,Oa6,Oa7,Oa8,Oa9,Oa10,Oa11,Oa12,Oa13,Oa14,Oa15,Oa16,Oa17,Oa18,Oa19,Oa20,B1,B2,B3,B4,B5,B6,B7,B8,B8a,B9,Aer,Blu,Grn,Red,NIR,Pan,RSR_412,RSR_443,RSR_469,RSR_488,RSR_531,RSR_551,RSR_555,RSR_645,RSR_667,RSR_678,RSR_748,RSR_859,RSR_869,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15
1.000000,1.000000,0.810206,0.608952,1.856332,0.618304,0.430388,0.477778,1.069929,0.329838,0.247348,0.502078,0.239616,0.176645,0.522340,0.203516,0.152712,0.146729,0.072529,0.132595,0.117312,0.103673,0.688789,0.213506,0.106716,3.463700,0.243796,0.796746,0.490543,0.398948,0.287044,0.237770,0.164867,0.117799,0.101810,0.074246,0.072468,0.087426,0.056281,0.009007,0.017655,0.016764,0.103755,0.106716,0.050426,0.044834,0.063417,0.732125,1.748413,0.571802,0.278925,0.128586,0.117353,0.122798,0.507571,0.118315,0.058363,0.631692,1.707811,0.925105,0.387536,0.149244,2.420249,0.576020,0.392084,0.608642,0.318386,0.243958,0.190413,0.337929,0.462187,0.102666,0.111711,0.079329,0.214097,0.082597,0.484735,0.395318,0.285298,0.236516,0.164186,0.117350,0.101418,0.072203,0.087078,0.056048,0.014355,0.103238,0.106083,0.050139,0.044563,
1.000000,2.000000,0.797899,0.599664,1.834343,0.610371,0.425532,0.478045,1.110368,0.345307,0.259075,0.508316,0.241536,0.177720,0.523485,0.203805,0.152927,0.146898,0.072620,0.135952,0.147470,0.137856,0.916963,0.286267,0.143124,3.508984,0.246232,0.786066,0.483346,0.392924,0.283788,0.237822,0.172743,0.118492,0.101952,0.074322,0.072561,0.090895,0.073781,0.010682,0.021959,0.021813,0.137960,0.143124,0.067680,0.058698,0.078439,0.721111,1.734796,0.597188,0.279362,0.131410,0.148938,0.163272,0.675280,0.158684,0.072292,0.622205,1.688562,0.961771,0.388410,0.200128,2.468298,0.567789,0.386156,0.600174,0.314614,0.251124,0.198945,0.353710,0.463582,0.102803,0.111838,0.101594,0.286644,0.110797,0.477624,0.389349,0.282062,0.236569,0.172027,0.118041,0.101559,0.072297,0.090538,0.073474,0.017244,0.137272,0.142275,0.067294,0.058345,
1.000000,3.000000,0.921240,0.692363,2.140500,0.711739,0.498309,0.562410,1.285311,0.398876,0.299241,0.612694,0.293076,0.215689,0.636456,0.248406,0.186467,0.179944,0.089013,0.163154,0.147883,0.134642,0.915982,0.293763,0.146938,4.140367,0.298530,0.889501,0.550575,0.454152,0.332338,0.280087,0.199476,0.143871,0.124350,0.090984,0.088943,0.108164,0.071998,0.009990,0.020607,0.021245,0.134727,0.146938,0.070308,0.059301,0.072764,0.833349,2.028647,0.690700,0.339921,0.157998,0.148460,0.159442,0.671686,0.162993,0.067126,0.719268,1.971696,1.116385,0.471646,0.205354,2.916547,0.647089,0.446266,0.697955,0.367986,0.290684,0.228811,0.407544,0.562095,0.125441,0.136964,0.100832,0.292079,0.113886,0.544057,0.450019,0.330315,0.278602,0.198654,0.143322,0.123876,0.088620,0.107746,0.071695,0.016094,0.134048,0.146066,0.069908,0.058944,
1.000000,4.000000,0.911686,0.685154,2.122624,0.705246,0.494263,0.562665,1.322667,0.413285,0.310176,0.626216,0.299055,0.219795,0.641879,0.249543,0.187280,0.180447,0.089287,0.174103,0.193391,0.187614,1.280944,0.418193,0.209297,4.196486,0.304982,0.881584,0.545173,0.449462,0.329623,0.280135,0.206824,0.146593,0.124856,0.091207,0.089223,0.118076,0.098529,0.011887,0.025918,0.028595,0.187718,0.209297,0.100452,0.080336,0.087957,0.824775,2.017638,0.714457,0.341810,0.167625,0.196191,0.222032,0.937494,0.232192,0.081332,0.711876,1.956020,1.151696,0.475888,0.292385,2.973800,0.640919,0.441653,0.691150,0.364857,0.297054,0.236600,0.422114,0.568864,0.125921,0.137341,0.134617,0.414143,0.162299,0.538720,0.445372,0.327616,0.278651,0.205970,0.146034,0.124381,0.088900,0.117623,0.098112,0.019413,0.186768,0.208056,0.099882,0.079862,
2.000000,1.000000,1.743437,1.308153,4.676859,1.548197,1.138384,1.450149,4.181450,1.398164,1.052270,2.526956,1.245289,0.922572,2.889871,1.123270,0.843607,0.800017,0.397920,0.860269,0.665727,0.645146,4.034935,1.203852,0.600915,13.815395,1.258155,1.538983,0.974189,0.864501,0.759435,0.724667,0.703091,0.615483,0.562385,0.401816,0.398143,0.581015,0.329014,0.027183,0.067434,0.090480,0.644984,0.600915,0.276550,0.202472,0.181056,1.588750,4.692405,2.405773,1.543246,0.827775,0.669638,0.767467,3.008349,0.665489,0.168325,1.373403,4.359003,3.869471,2.156832,0.840692,10.501534,1.155044,0.848644,1.444351,0.828318,0.842824,0.743281,1.381326,2.530780,0.565471,0.607879,0.457579,1.218372,0.463912,0.962659,0.856626,0.754787,0.720786,0.700149,0.613135,0.560271,0.396761,0.578905,0.327625,0.045577,0.641685,0.597328,0.274991,0.201310,
2.000000,2.000000,1.720635,1.291163,4.579579,1.515785,1.112039,1.411299,4.041628,1.347778,1.014242,2.421759,1.193372,0.884237,2.770107,1.077961,0.809602,0.769575,0.382832,0.833320,0.687913,0.679540,4.332545,1.322324,0.660461,13.333324,1.205554,1.526517,0.965068,0.852946,0.741822,0.705118,0.677612,0.589914,0.539749,0.386487,0.383035,0.565184,0.344831,0.028227,0.070434,0.095094,0.679384,0.660461,0.307069,0.223405,0.195273,1.567357,4.584330,2.319172,1.480122,0.801043,0.694248,0.808039,3.218092,0.731729,0.181698,1.354808,4.266085,3.730166,2.066017,0.923598,10.113126,1.143677,0.837342,1.417990,0.809660,0.818805,0.719084,1.333741,2.424059,0.542857,0.584784,0.475842,1.330680,0.510435,0.953647,0.845176,0.737284,0.701344,0.674778,0.587663,0.537719,0.381704,0.563130,0.343372,0.047394,0.675906,0.656522,0.305338,0.222130,
2.000000,3.000000,1.704962,1.278183,4.796479,1.585620,1.183459,1.572868,5.103127,1.764115,1.328847,3.268266,1.596679,1.180129,3.627861,1.378260,1.033551,0.949114,0.472504,1.160327,0.772130,0.745538,4.361050,1.114089,0.553268,16.667571,1.617831,1.524440,0.957482,0.845374,0.789778,0.786443,0.888909,0.786760,0.688082,0.475839,0.473194,0.782030,0.372271,0.032560,0.080382,0.104904,0.744943,0.553268,0.238807,0.184558,0.195288,1.555680,4.914975,3.031103,1.914726,1.115864,0.769622,0.894951,3.327017,0.611275,0.181520,1.344685,4.489308,4.853818,2.733699,0.776587,12.993624,1.138992,0.829797,1.452933,0.857221,0.966596,0.906010,1.716585,3.232711,0.689164,0.720629,0.521649,1.173192,0.424157,0.946149,0.837678,0.784928,0.782256,0.885180,0.783778,0.685520,0.471614,0.779004,0.370688,0.054523,0.741187,0.549953,0.237466,0.183450,
2.000000,4.000000,1.626033,1.219257,4.524030,1.494467,1.113225,1.478803,4.823794,1.667705,1.256160,3.102771,1.519113,1.123979,3.475543,1.322942,0.992096,0.913772,0.455178,1.131074,0.793195,0.774170,4.571983,1.190493,0.591637,15.804585,1.537601,1.470093,0.920365,0.805806,0.742840,0.739117,0.840219,0.749345,0.660533,0.457842,0.455857,0.765188,0.386486,0.033623,0.083340,0.108972,0.773603,0.591637,0.257414,0.197903,0.205946,1.482543,4.629714,2.865457,1.836661,1.086713,0.792717,0.928594,3.478780,0.653855,0.191443,1.281286,4.232456,4.588964,2.617260,0.830093,12.327743,1.094182,0.791033,1.373362,0.806747,0.913824,0.856875,1.623024,3.090784,0.661743,0.693812,0.538190,1.247633,0.453974,0.909472,0.798470,0.738280,0.735187,0.836700,0.746505,0.658076,0.454336,0.762227,0.384844,0.056376,0.769700,0.588094,0.255967,0.196721,
3.000000,1.000000,0.698086,0.524410,1.619560,0.534097,0.376435,0.443723,1.076871,0.340427,0.255329,0.580761,0.282393,0.209740,0.632195,0.243670,0.182632,0.175036,0.087146,0.164739,0.125836,0.111671,0.720680,0.216048,0.107885,3.562655,0.285235,0.703945,0.428865,0.343636,0.250858,0.221538,0.170201,0.139882,0.121610,0.087877,0.087150,0.107342,0.060068,0.008488,0.017512,0.017528,0.111730,0.107885,0.050389,0.043628,0.058332,0.630987,1.551273,0.590256,0.335896,0.160130,0.125628,0.132610,0.534565,0.119556,0.053777,0.544385,1.494671,0.956636,0.470441,0.150960,2.584851,0.504205,0.337712,0.523817,0.277095,0.235946,0.190542,0.343553,0.559962,0.122454,0.133190,0.085096,0.218186,0.083399,0.423789,0.340510,0.249338,0.220365,0.169493,0.139347,0.121144,0.086835,0.106917,0.059820,0.013713,0.111174,0.107244,0.050102,0.043365,
3.000000,2.000000,0.696553,0.523255,1.617929,0.533445,0.376073,0.445472,1.103859,0.350374,0.262872,0.586901,0.284740,0.211205,0.632245,0.243292,0.182351,0.174686,0.086989,0.171806,0.152777,0.141313,0.922804,0.281211,0.140495,3.600460,0.287963,0.701886,0.427659,0.342898,0.250614,0.222308,0.175268,0.140846,0.121424,0.087680,0.086998,0.113612,0.075199,0.009997,0.021307,0.021911,0.141389,0.140495,0.065922,0.056176,0.072175,0.629634,1.552718,0.606655,0.335443,0.166380,0.153599,0.167742,0.682815,0.155720,0.066616,0.543224,1.493491,0.980873,0.470503,0.196529,2.619789,0.502878,0.336984,0.522999,0.276804,0.241050,0.196237,0.353889,0.561020,0.122255,0.132920,0.104565,0.283009,0.108669,0.422598,0.339779,0.249095,0.221134,0.174538,0.140308,0.120958,0.086684,0.113163,0.074888,0.016300,0.140684,0.139661,0.065547,0.055837,
