iHy, iMod,En01,En02,En03,En04,En05,En06,En07,En08,En09,En10,En11,En12,En13,En14,En15,En16,En17,En18,En19,En20,En21,En22,En23,En24,En25,En26,En27,En28,En29,En30,En31,En32,En33,En34,En35,En36,En37,En38,En39,En40,En41,En42,En43,En44,En45,En46,En47,En48,En49,En50,En51,En52,En53,En54,En55,En56,En57,En58,En59,En60,En61,En62,En63,En64,En65,En66,En67,En68,En69,En70,En71,En72,En73,En74,En75,En76,En77,En78,En79,En80,En81,En82,En83,En84
1.000000,1.000000,66.239467,61.868077,53.565981,58.564904,61.495419,61.513659,62.585507,61.151038,59.234411,55.920894,54.254215,53.730063,51.998667,45.866764,45.709013,44.387338,40.814535,39.456233,37.324977,33.859310,31.431834,31.542128,30.830946,29.962433,28.398543,27.767765,26.777050,25.470313,23.669376,22.757982,21.916443,21.089842,20.734216,19.223327,18.757318,17.805381,17.312487,16.496760,15.866053,15.493846,14.967071,14.737142,14.182385,13.710199,12.628167,12.812427,12.427530,11.927942,11.503715,10.145861,10.634972,10.364636,9.949041,9.232525,8.661280,8.426792,8.261704,8.019718,7.752408,5.781605,5.991085,6.805733,6.439321,6.174879,5.916950,5.727320,5.408079,4.927946,4.913008,4.789924,4.649589,4.170880,4.294839,4.050619,3.995729,3.804661,3.637575,3.208614,3.118385,3.018112,2.935510,2.160912,2.147229,2.124978,
1.000000,2.000000,65.229642,60.910734,52.730912,57.655778,60.560930,60.610001,61.690946,60.284171,58.399499,55.137969,53.507921,53.015820,51.335429,45.307560,45.190290,43.936576,40.487758,39.268434,37.317303,34.056081,31.848615,32.211098,31.732910,31.030555,29.538883,28.987030,28.022693,26.698480,24.798226,23.787674,22.803680,21.783613,21.285433,19.614623,19.044382,18.042754,17.512405,16.650070,15.972828,15.565360,15.028953,14.794731,14.229313,13.743972,12.652909,12.833053,12.442455,11.939931,11.518635,10.170840,10.700724,10.500623,10.339612,9.999486,9.793287,10.011467,10.267174,10.284927,10.131650,7.376148,7.722957,9.044125,8.565470,8.207912,7.875673,7.629190,7.154864,6.452241,6.487495,6.382688,6.218329,5.585370,5.757865,5.434451,5.362061,5.106730,4.863071,4.190054,4.083943,3.947549,3.867930,2.660136,2.676045,2.651949,
1.000000,3.000000,74.602431,69.858563,60.634615,66.468107,69.977358,70.161668,71.547389,70.003283,67.879512,64.150397,62.271772,61.675099,59.864815,52.954841,52.926949,51.555315,47.611033,46.195190,43.952498,40.082779,37.313013,37.500436,36.723795,35.774376,33.983643,33.319155,32.245827,30.761975,28.648536,27.586049,26.560556,25.581601,25.269583,23.327947,22.764024,21.790181,21.217184,20.194541,19.396799,18.888620,18.136048,17.931755,17.274593,16.589587,15.310699,15.623307,15.197329,14.618457,14.119504,12.232864,12.926258,12.677597,12.316736,11.256412,10.406458,10.246836,10.366553,10.192477,9.902211,7.102200,7.431813,8.813009,8.377197,8.014927,7.716763,7.501192,6.962178,6.237416,6.375250,6.365162,6.287385,5.679631,5.892546,5.590666,5.547192,5.301979,5.026207,4.225093,4.132873,3.978172,3.964455,2.449281,2.508906,2.497428,
1.000000,4.000000,73.837759,69.128577,59.993559,65.765422,69.250691,69.454380,70.841818,69.314890,67.212008,63.520194,61.667879,61.095255,59.321003,52.492186,52.493995,51.176608,47.334331,46.035618,43.946140,40.253521,37.677509,38.089543,37.524013,36.730334,35.012029,34.427543,33.389561,31.900196,29.703336,28.554089,27.405363,26.307788,25.935552,23.894717,23.289832,22.294276,21.696267,20.626624,19.776111,19.226655,18.444047,18.226130,17.519841,16.766346,15.440309,15.711874,15.241450,14.653909,14.164256,12.301507,13.144053,13.262528,13.456402,12.685408,12.109072,12.513883,13.381362,13.628420,13.505378,9.385406,9.879869,12.262661,11.682701,11.142357,10.755890,10.480158,9.549888,8.403560,8.736334,8.898350,8.886589,8.054211,8.383562,7.970494,7.920232,7.574850,7.107112,5.701453,5.603202,5.371598,5.436046,2.935326,3.069375,3.067477,
2.000000,1.000000,93.838568,88.995023,78.238528,86.887080,92.912403,94.944807,98.797123,98.373533,96.907827,93.063942,91.730201,92.108779,91.258984,82.705190,84.695777,84.625315,80.368427,80.367544,79.488823,75.016580,71.777392,73.822952,74.191270,74.712536,73.577028,74.656510,74.950730,74.120837,71.087605,69.723506,68.261169,67.889571,69.515515,64.044111,63.227972,62.714574,62.205975,59.885026,57.944375,56.789548,54.461537,56.400611,56.066636,53.639578,49.646224,50.124524,47.514248,45.141651,44.262847,36.666796,43.666639,45.884579,46.465612,38.866681,31.970900,30.818402,32.514719,32.310174,31.627310,20.088786,21.068581,29.069156,28.385888,27.391075,26.955983,26.492495,22.883469,18.543732,19.109021,19.368529,19.009784,16.677602,17.050471,15.881527,15.528738,14.617699,13.338591,9.999698,9.933027,9.492821,9.896064,4.148489,4.531981,4.600368,
2.000000,2.000000,92.873058,88.014571,77.321719,85.810911,91.687402,93.598170,97.288531,96.763890,95.221830,91.354501,89.963615,90.264544,89.341311,80.873925,82.727716,82.578888,78.354040,78.279494,77.344770,72.945424,69.776128,71.757598,72.094414,72.530307,71.324437,72.271344,72.445710,71.525516,68.489883,67.103545,65.608295,65.122457,66.606597,61.399153,60.614660,60.085837,59.598319,57.382567,55.534780,54.434510,52.212023,53.999269,53.618106,51.296127,47.511317,48.053531,45.647518,43.426297,42.582881,35.299222,42.005799,44.286110,45.199321,38.245409,31.929434,31.254319,33.466232,33.616928,33.108840,21.049598,22.123891,30.631650,29.890791,28.803401,28.343507,27.883231,24.106552,19.626721,20.384826,20.829701,20.598991,18.189957,18.687810,17.490195,17.171318,16.225048,14.819194,11.027057,10.967383,10.477952,10.953580,4.461496,4.903620,4.983838,
2.000000,3.000000,91.928254,87.025295,76.391580,84.741021,90.768765,93.205681,97.544891,97.772343,96.934770,93.640464,92.878137,93.878032,93.496942,85.319769,88.121414,88.687296,84.947065,86.112398,86.213909,82.349489,79.814584,83.167796,84.869741,87.081431,87.538183,90.445443,92.225023,92.708500,90.123766,89.151611,88.322336,88.860349,90.766461,83.846152,82.859933,81.359017,80.159224,76.924987,74.136971,72.562118,70.161032,72.810811,72.694735,70.166150,63.846469,62.360750,57.275998,53.340670,52.628448,45.923303,57.583884,62.172332,62.576459,52.547217,42.686871,39.128921,38.138381,36.694190,35.804249,23.009820,24.509679,33.271195,33.002185,32.777554,32.617386,32.139203,28.313889,22.461224,21.783256,20.783331,19.235355,16.131485,15.981187,14.430282,13.760111,12.652885,11.544485,9.145176,9.106278,8.822481,9.123563,4.482386,4.847117,4.898120,
2.000000,4.000000,88.168217,83.332467,73.047399,80.931055,86.552764,88.695706,92.629925,92.664748,91.721094,88.487161,87.676596,88.562844,88.120888,80.316244,82.881381,83.363591,79.834874,80.920662,81.011513,77.454959,75.198880,78.509735,80.250475,82.388568,82.804827,85.549249,87.212175,87.646340,85.181539,84.278338,83.479561,83.935867,85.751551,79.343795,78.508644,77.161656,76.116862,73.141782,70.585354,69.162590,66.971713,69.514219,69.426884,67.078959,61.115757,59.801043,55.035331,51.332861,50.701532,44.357769,55.704820,60.408511,61.232648,51.886622,42.640785,39.582790,39.059812,37.906946,37.145151,23.884187,25.457207,34.590407,34.244288,33.933747,33.727902,33.227130,29.287720,23.323688,22.749985,21.837256,20.330700,17.147073,17.051321,15.457544,14.784268,13.635248,12.449035,9.801902,9.753900,9.434807,9.757281,4.725426,5.117916,5.169616,
3.000000,1.000000,53.787837,50.039867,43.179889,47.130739,49.510139,49.631886,50.565154,49.344423,47.703754,44.953436,43.598254,43.253875,41.995640,37.221755,37.339259,36.677469,34.214207,33.701392,32.519906,29.938766,28.038222,28.301636,27.859671,27.294118,26.117131,25.847149,25.260685,24.334569,22.904827,22.331536,21.842969,21.356391,21.401105,20.134668,19.938968,19.193255,18.834929,18.103317,17.561902,17.299244,16.814045,16.764663,16.287873,15.785823,14.453918,14.434864,13.787570,13.210044,12.943360,11.363333,12.445308,12.154919,11.426439,10.095451,9.005758,8.548354,8.301173,8.013057,7.738537,5.557448,5.792652,6.821934,6.506444,6.283085,6.061016,5.874059,5.473519,4.842797,4.793733,4.656770,4.481777,3.979035,4.073791,3.820305,3.750693,3.556850,3.377659,2.912133,2.841268,2.749096,2.699373,1.847450,1.862531,1.847584,
3.000000,2.000000,53.644208,49.912982,43.076572,47.022930,49.402792,49.530481,50.467916,49.255360,47.624351,44.883328,43.535948,43.197339,41.945490,37.181278,37.302920,36.647981,34.208823,33.736988,32.623611,30.134956,28.353933,28.767519,28.461585,27.989773,26.846446,26.613247,26.030622,25.082612,23.582116,22.936631,22.353356,21.771428,21.755206,20.418440,20.185816,19.415022,19.034130,18.270299,17.693198,17.402071,16.898936,16.834549,16.326848,15.788218,14.441383,14.417190,13.762166,13.179938,12.920959,11.380486,12.586826,12.523350,12.099481,10.999101,10.126043,9.962333,9.995823,9.872241,9.665461,6.857110,7.203016,8.633625,8.232727,7.938338,7.659820,7.431605,6.909221,6.102671,6.098306,5.979516,5.788300,5.159823,5.297653,4.980314,4.898377,4.652846,4.411052,3.743379,3.660939,3.539920,3.493381,2.277035,2.317557,2.302422,
